replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,196,38946,0.05,1.0,121,131.79,23.8,0.397982,38946,,,,,,0.352065,0.528436,5.986589
uniform,1,197,39059,0.05,1.0,113,131.83,29.64,0.452589,39059,,,,,,0.408211,0.615874,6.238314
uniform,1,198,39196,0.05,1.0,137,131.71,29.52,0.457685,39196,,,,,,0.406178,0.617942,6.29145
uniform,1,199,39311,0.05,1.0,115,131.82,27.43,0.335114,39311,,,,,,0.279048,0.487402,5.30813
uniform,1,200,39434,0.05,1.0,123,131.78,28.59,0.175803,39434,,,,,,0.127161,0.319865,3.636746
uniform,1,201,39734,0.05,,300,22.5,26.5,0.368579,39734,,,,,,0.316658,0.506672,5.626916
uniform,1,202,39942,0.05,-1.0,208,26.36,131.36,0.400566,39942,,,,,,0.350279,0.533476,5.871082
uniform,1,203,40090,0.05,-1.0,148,27.06,131.66,0.475164,40090,,,,,,0.386889,0.64228,6.339452
uniform,1,204,40194,0.05,-1.0,104,25.68,131.88,0.384047,40194,,,,,,0.298807,0.543304,5.601479
uniform,1,205,40334,0.05,-1.0,140,24.5,131.7,0.389617,40334,,,,,,0.324174,0.542485,5.779472
uniform,1,206,40429,0.05,1.0,95,131.92,26.13,0.472364,40429,,,,,,0.40047,0.621958,6.376778
uniform,1,207,40529,0.05,-1.0,100,20.9,131.9,0.342618,40529,,,,,,0.278386,0.489025,5.35484
uniform,1,208,40731,0.05,-1.0,202,23.59,131.39,0.320593,40731,,,,,,0.256895,0.460636,5.143111
uniform,1,209,40851,0.05,-1.0,120,26.4,131.8,0.317324,40851,,,,,,0.252977,0.455873,5.112154
uniform,1,210,40957,0.05,-1.0,106,23.67,131.87,0.41803,40957,,,,,,0.360057,0.555972,6.015753
uniform,1,211,41093,0.05,-1.0,136,29.32,131.72,0.409495,41093,,,,,,0.345962,0.577,5.801487
uniform,1,212,41393,0.05,,300,28.7,27.1,0.389527,41393,,,,,,0.324669,0.54469,5.666508
uniform,1,213,41499,0.05,-1.0,106,28.87,131.87,0.39157,41499,,,,,,0.307786,0.543147,5.610255
uniform,1,214,41767,0.05,-1.0,268,23.06,131.06,0.377965,41767,,,,,,0.314939,0.523249,5.574303
uniform,1,215,41899,0.05,-1.0,132,26.74,131.74,0.443286,41899,,,,,,0.38225,0.583834,6.12565
uniform,1,216,41994,0.05,1.0,95,131.92,23.53,0.498861,41994,,,,,,0.42491,0.639952,6.410116
uniform,1,217,42098,0.05,-1.0,104,26.48,131.88,0.371708,42098,,,,,,0.246224,0.560908,5.323335
