replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,195,70796,0.05,,400,5.4,7.4,2.748263,10000,,,,,,-0.568598,3.198837,15.225496
uniform,1,196,71196,0.05,,400,7.8,10.6,2.829615,10000,,,,,,-0.575315,3.284667,14.850226
uniform,1,197,71596,0.05,,400,9.2,6.8,2.631735,10000,,,,,,-0.622563,3.084502,14.527933
uniform,1,198,71996,0.05,,400,11.6,7.4,2.537173,10000,,,,,,-0.6102,2.98505,14.715797
uniform,1,199,72396,0.05,,400,8.6,10.2,2.400319,10000,,,,,,-0.596652,2.848561,14.266336
uniform,1,200,72796,0.05,,400,5.4,9.6,2.568991,10000,,,,,,-0.600678,3.015862,15.393038
uniform,2,1,400,0.905,,400,6.4,6.0,0.026664,400,,,,,,0.008265,0.08453,0.258416
uniform,2,2,800,0.81,,400,13.8,10.8,0.093924,800,,,,,,0.055039,0.280482,0.453586
uniform,2,3,1200,0.715,,400,19.0,9.8,0.087923,1200,,,,,,0.04263,0.286164,0.445214
uniform,2,4,1600,0.62,,400,14.4,17.2,0.096117,1600,,,,,,0.028597,0.304266,0.474748
uniform,2,5,2000,0.525,,400,22.8,17.8,0.101015,2000,,,,,,0.0288,0.315013,0.510204
uniform,2,6,2400,0.43,,400,22.6,22.0,0.158198,2400,,,,,,0.030255,0.416594,0.611276
uniform,2,7,2800,0.335,,400,24.4,28.0,0.133792,2800,,,,,,0.017211,0.382791,0.592223
uniform,2,8,3037,0.278713,1.0,237,131.21,23.62,0.146929,3037,,,,,,0.013758,0.408611,0.596886
uniform,2,9,3274,0.222425,1.0,237,131.21,24.02,0.165131,3274,,,,,,0.051035,0.412638,1.936036
uniform,2,10,3472,0.1754,-1.0,198,25.81,131.41,0.1726,3472,,,,,,0.056541,0.42059,2.248619
uniform,2,11,3696,0.1222,-1.0,224,28.48,131.28,0.182016,3696,,,,,,0.068334,0.433846,2.379868
uniform,2,12,3839,0.088238,1.0,143,131.68,29.49,0.230308,3839,,,,,,0.120943,0.474569,3.416771
uniform,2,13,4239,0.05,,400,26.4,28.2,0.212416,4239,,,,,,0.094389,0.461944,2.950622
uniform,2,14,4430,0.05,1.0,191,131.44,23.85,0.204698,4430,,,,,,0.086339,0.456399,2.836034
uniform,2,15,4573,0.05,1.0,143,131.68,28.89,0.255696,4573,,,,,,0.127606,0.509264,3.512241
uniform,2,16,4736,0.05,1.0,163,131.58,29.39,0.256601,4736,,,,,,0.1487,0.499397,3.748652
uniform,2,17,5122,0.05,-1.0,386,28.07,130.47,0.243635,5122,,,,,,0.117027,0.501699,3.318776
uniform,2,18,5245,0.05,1.0,123,131.78,29.59,0.308962,5245,,,,,,0.178894,0.570129,4.07403
uniform,2,19,5449,0.05,-1.0,204,28.58,131.38,0.3132,5449,,,,,,0.190767,0.568732,4.221249
uniform,2,20,5648,0.05,1.0,199,131.4,28.41,0.259222,5648,,,,,,0.132555,0.516813,3.504576
uniform,2,21,5878,0.05,-1.0,230,26.65,131.25,0.334537,5878,,,,,,0.206274,0.59226,4.32234
uniform,2,22,6081,0.05,1.0,203,131.38,23.39,0.381895,6081,,,,,,0.240292,0.644237,4.739662
uniform,2,23,6397,0.05,-1.0,316,28.02,130.82,0.330969,6397,,,,,,0.208366,0.582438,4.412109
uniform,2,24,6559,0.05,-1.0,162,29.39,131.59,0.394253,6559,,,,,,0.242604,0.668332,4.728529
uniform,2,25,6718,0.05,1.0,159,131.6,29.01,0.313147,6718,,,,,,0.186878,0.56536,4.190478
uniform,2,26,6825,0.05,1.0,107,131.86,29.67,0.306742,6825,,,,,,0.183281,0.568417,4.009696
